PersonCode,Status,LocalFirstName,LocalLastName,LocalLanguageCode,PreferredName,LatinFirstName,LatinLastName,DateOfBirth,Gender,Nationality,CountryOfBirth,RegionOfBirth,PlaceOfBirth,Fax,Phone,Address1,Address2,PostalCode,Suburb,State,Email,DemographicField2,DemographicField3,DemographicField4,DemographicField5,DemographicField6,
21243901,Active,MAARIT,KYLMÄLÄ,,,,,1989/09/06,FEMALE,FIN,,,,,,LAPINLUHDANTIE 45,,20700,HELSINKI,,riikka_himanen@hotmail.invalid,,,,,,
21243927,Active,JUHA,SANDELL,,,,,1994/07/12,FEMALE,FIN,,,,,040 7729065,JOKISUUNTIE 11,,02200,ESPOO,,heli.hietanen@pp2.inet.invalid,,,,,,
21243930,Active,NIKO,EKROTH,,,,,2000/01/26,MALE,FIN,,,,,0415070614,Halmeenlaita 7 B,,00280,SODANKYLÄ,,johanneslatvala@gmail.invalid,,,,,,
21243943,Active,LAURI,HOVI,,,,,1998/05/11,FEMALE,FIN,,,,,,SKÖLDARGÅRDINTIE 7 C 22,,00730,HUITTINEN,,pekka.hamalainen@virpiniemi.invalid,,,,,,
21243956,Active,ANTTI,KIIANLINNA,,,,,1991/05/08,MALE,FIN,,,,,,Lapinkyläntie 655,,23800,HELSINKI,,georg.rosback@veronmaksajat.invalid,,,,,,
21243985,Active,ILPO,HEIKKILÄ,,,,,1995/08/07,FEMALE,FIN,,,,,,PIHLAVANTIE 24,,31110,KÄMMENNIEMI,,samuli_puroila@suomi24.invalid,,,,,,
21243998,Active,MARKKU,TURKULAINEN,,,,,2000/08/14,MALE,FIN,,,,,0407081254,Väinö Auerinkatu 10 B 21,,37600,KOKKOLA,,sari.lappetelainen@pp.inet.invalid,,,,,,
21244010,Active,KRISTOFFER,OLLILA,,,,,1991/07/24,MALE,FIN,,,,,0405010507,LUHTATIE 1 B 18,,21200,ARTJÄRVI,,mats.yli-panula@elisanet.invalid,,,,,,
21244023,Active,NIKO,KAUNISTO,,,,,1994/09/06,MALE,FIN,,,,,041-5340579,BARTSGÅRDA,,21420,HELSINKI,,,,,,,,
21244036,Active,SASU,RANTALA,,,,,2004/09/26,MALE,FIN,,,,,0405650600,YLI-ANTTILANTI 26,,46800,VANTAA,,,,,,,,
21244049,Active,JUUSO,KURTTI,,,,,1998/03/27,MALE,FIN,,,,,040 - 730 6440,Rullaniementie 3 D 16,,02620,KAJAANI,,teemu@kokoromoi.invalid,,,,,,
21244065,Active,ALEKSI,MAKKONEN,,,,,2002/12/12,MALE,FIN,,,,,,ISOPALONTIE 57,,37830,KUOPIO,,soile.heinanen@gmail.invalid,,,,,,
21244078,Active,TEEMU,ROMO,,,,,1992/05/11,MALE,FIN,,,,,040  5565950,TÖRNÄVÄNTIE 30B AS. 405,,01690,KUOPIO,,fcvapsi@fcvapsi.invalid,,,,,,
21244081,Active,ARTO,UOTILA,,,,,2000/07/09,MALE,FIN,,,,,,AISATIE 8 C 93,,15160,RAISIO,,janne.invalidrdstrom@evl.invalid,,,,,,
21244094,Active,ROOPE,PIRKKALAINEN,,,,,1981/05/13,MALE,FIN,,,,,(09) 2767617,POSTITIE 98,,50970,LAPPEENRANTA,,,,,,,,
21244117,Active,TEEMU,EKMAN,,,,,1990/08/11,MALE,FIN,,,,,,NEITSYTSAARENTIE 6E26,,15700,PIETARSAARI,,,,,,,,
21244117,Active,EINO,VASTAMÄKI  I ,,,,,1992/07/17,MALE,SGP,,,,,,,,01300,ITÄSALMI,,virpi.orbinski@gmail.invalid,,,,,,
21244133,Active,JOONAS,PELKONEN,,,,,1998/06/28,MALE,FIN,,,,,03-3682025,TAMMIAISTENTIE,,02700,IMATRA,,paivi.latva-kokko@tilinomi.invalid,,,,,,
21244146,Active,NOA,TOPPINEN,,,,,1972/05/07,MALE,FIN,,,,,,VÄSTERÄNGSVÄGEN 9,,15240,MIKKELI,,tommi.koivistoinen@wulff.invalid,,,,,,
21244162,Active,NEEA,PAAKKINEN,,,,,2005/09/21,MALE,FIN,,,,,,YLIMMÄISENKUJA 30,,01490,VANTAA,,julia.bilund@suomi24.invalid,,,,,,
21244175,Active,RISTO,AURALA,,,,,1994/01/21,MALE,FIN,,,,,0504405011,SIENIKUJA 5,,53100,HÄMEENLINNA,,heidi-sj@hotmail.invalid,,,,,,
21244188,Active,AINO,SAINIO,,,,,1983/03/22,MALE,FIN,,,,,,Lehtikuusentie 1,,69850,RIIHIKOSKI,,,,,,,,
21244191,Active,EMMA,TIIKASALO,,,,,2007/08/04,MALE,FIN,,,,,0503552088,VANHATORRONTIE 422,,41340,HELSINKI,,tero.kallio@students.turkuamk.invalid,,,,,,
21244214,Active,OLLI,LINDBERG,,,,,1999/02/17,MALE,FIN,,,,,,LAPINTIE 30 A 4,,40640,ESPOO,,,,,,,,
21244243,Active,SANTERI,JÄRVINEN,,,,,2003/05/31,MALE,FIN,,,,,,KAARIKUJA 29,,38210,HÄMEENLINNA,,jm.rajamaki@pp.sonera.invalid,,,,,,
21244256,Active,IDA,HELANDER,,,,,2003/04/18,FEMALE,FIN,,,,,044-2638390,NALLIKALLIONKUJA 6 D,,02780,KUOPIO,,,,,,,,
21244269,Active,RIIKKA,FÄLT,,,,,1984/03/20,FEMALE,FIN,,,,,,hiomotie 14A 18,,04300,PALOKKA,,jaana.petro@kolumbus.invalid,,,,,,
21244308,Active,SAMI,NATUNEN,,,,,1998/02/11,MALE,FIN,,,,,0408419457,BETANIANKATU 10 AS. 1,,68600,VANTAA,,,,,,,,
21244324,Active,NIKLAS,TAAM,,,,,1986/03/18,FEMALE,FIN,,,,,040-7663383,HUUMARKANKAANTIE 41,,20100,PORI,,,,,,,,
21244340,Active,JANELL,VÄKIPARTA,,,,,1996/01/19,MALE,SGP,,,,,,PELTOTIE 10,,26560,KUOPIO,,,,,,,,
21244353,Active,IRENE,LEHTINEVA,,,,,1991/05/10,FEMALE,FIN,,,,,040-7174820,TOIMELANTIE 20,,68910,KOTKA,,marja.tuokila@eduskunta.invalid,,,,,,
21244379,Active,KRISTIAN,MÄKI-VENTELÄ,,,,,1989/08/30,MALE,FIN,,,,,,PAASIKIVENKATU 8 AS 40,,33270,OULU,,henri.lehijoki@kuopiolainen.invalid,,,,,,
21244421,Active,KAISA EMILA ,RUOLAHTI,,,,,1984/01/14,MALE,FIN,,,,,,Östra Strandgatan 60 aA 21,,01480,NOUSIAINEN,,matilainen_vesa@emc.invalid,,,,,,
21244434,Active,TEEMU,ARPIAINEN,,,,,1999/06/24,MALE,FIN,,,,,019-762258,KOETILANKATU 6B8,,75530,VAASA,,kirsi.kauppinen@pp1.inet.invalid,,,,,,
21244447,Active,MIIKKA,KOHO,,,,,1955/02/06,MALE,FIN,,,,,,Hitsaajankuja 1 F,,02150,HELSINKI,,tatu.maentaka@gmail.invalid,,,,,,
21244476,Active,JESSE,KUJALA,,,,,1989/05/20,MALE,FIN,,,,,,UKONMÄENTIE 5,,01670,RIIHIMÄKI,,vakevainen.johanna@luukku.invalid,,,,,,
21244531,Active,RENEE,RÄTY,,,,,2004/09/05,MALE,FIN,,,,,,OHDAKETIE 29,,62375,KARPERÖ,,juha.herrala@gmail.invalid,,,,,,
21244560,Active,JOEL,HULTIN,,,,,2009/09/15,MALE,FIN,,,,,,KUMINAKATU 2 B 4,,23100,KOUVOLA,,,,,,,,
21244573,Active,FRED,MOHAMED,,,,,2002/05/22,MALE,FIN,,,,,,KIERTOKATU 3,,70910,TAMPERE,,dimene1@yandex.invalid,,,,,,
21244586,Active,KALLE,LARI,,,,,1961/11/19,MALE,FIN,,,,,,XX,,07900,ESPOO,,timo.kvist@naantali.invalid,,,,,,
21244599,Active,VERTTI,PACIUS,,,,,1989/09/06,MALE,FIN,,,,,0404453543,SAARITIE 17,,90520,PORI,,petri.tiainen@saunalahti.invalid,,,,,,
21244609,Active,JERO,MATIKKA,,,,,1994/07/12,MALE,FIN,,,,,,RUNKOKATU 17H 41,,04500,YLIHÄRMÄ,,pelle.hoglund@luukku.invalid,,,,,,
21244612,Active,JERE,PALTERE,,,,,2000/01/26,MALE,FIN,,,,,,JOULUMERKINTIE 15 A 2,,15170,KALAJOKI,,raija.luoma@kolumbus.invalid,,,,,,
21244625,Active,MARIANNE,LEHTONEN,,,,,1998/05/11,MALE,FIN,,,,,,HARJUNTIE 10,,73900,VARKAUS,,,,,,,,
21244638,Active,JEANETTE,TIENPÄÄ,,,,,1991/05/08,MALE,FIN,,,,,,ÖVERBYVÄGEN 19,,22130,TURKU,,kaija.savunen@palloiirot.invalid,,,,,,
21244641,Active,NOEL,KÄRKKÄINEN,,,,,1995/08/07,MALE,FIN,,,,,044-3562925,VÄLÄKÄNTIE 3,,90580,Masku,,miksu.puoskari@hotmail.invalid,,,,,,
21244654,Active,JANI,PULKKA,,,,,2000/08/14,MALE,FIN,,,,,0503530412,HAIKARANTIE 3A7,,90520,HELSINKI,,TOIMISTO@PALLOIIROT.invalid,,,,,,
21244667,Active,PETTERI,HÄGEN,,,,,1991/07/24,MALE,FIN,,,,,,LIISANKATU 6 A,,21290,LEMPÄÄLÄ,,joni.lindberg@sportia.invalid,,,,,,
21244670,Active,VESA,GUSTAFSSON,,,,,1994/09/06,MALE,FIN,,,,,,KÄSKYNHALTIJANTIE 14 B 35,,01280,JYVÄSKYLÄ,,,,,,,,
21244719,Active,ANETTE,HYVÄRINEN,,,,,2004/09/26,MALE,FIN,,,,,,KELLAHDENTIE 517,,01450,HELSINKI,,lilltonkka@hotmail.invalid,,,,,,
21244722,Active,REIJO,NIEMINEN,,,,,1998/03/27,FEMALE,FIN,,,,,03-4225183,NAAPANKAARI 11,,33720,JYVÄSKYLÄ,,,,,,,,
21244735,Active,PETER,JOKINEN,,,,,2002/12/12,FEMALE,FIN,,,,,,RUONALANKATU 10,,70150,OULU,,,,,,,,
21244748,Active,JUHANI,WECKSTRÖM,,,,,1992/05/11,MALE,FIN,,,,,,Riihimäentie 6,,67300,LAHTI,,,,,,,,
21244751,Active,SAMI,PULKKA,,,,,2000/07/09,FEMALE,SGP,,,,,,AHVENISRAITTI 24 C 31,,25460,PORVOO,,,,,,,,
21244764,Active,VALTO,NENONEN,,,,,1981/05/13,MALE,FIN,,,,,0504622656,KAURIINTIE 4 S 139,,36910,LAITILA,,,,,,,,
21244777,Active,ARON,VOUTILAINEN,,,,,1990/08/11,FEMALE,FIN,,,,,0415011505,LEIKKITIE 6 B 6,,48600,KUUSANKOSKI,,juha.hakala@eduvantaa.invalid,,,,,,
21244793,Active,KARI,PASANEN,,,,,1992/07/17,MALE,FIN,,,,,,JOKIVARRENTIE 2869,,02360,PAIMIO,,tarni@suomi24.invalid,,,,,,
21244816,Active,VILMA,VALL,,,,,1998/06/28,MALE,FIN,,,,,040-4151798,SUISTAMONKATU 1 AS. 3,,37600,ÅBO,,,,,,,,
21244829,Active,ANNI,VIRTA,,,,,1972/05/07,MALE,FIN,,,,,,PAALIJÄRVENTIE 139,,91300,HAAPAJÄRVI,,,,,,,,
21244832,Active,MIKA,NIKULA,,,,,2005/09/21,MALE,FIN,,,,,,PIRTTIMÄENKATU 39,,70300,MIETOINEN,,,,,,,,
21244845,Active,MIKKO,ANTTILA,,,,,1994/01/21,MALE,FIN,,,,,,SOLMU 8B D,,01450,VIHTAVUORI,,paivi.aaltonen@mental.invalid,,,,,,
21244858,Active,OSKARI,PYLKKÄNEN,,,,,1983/03/22,MALE,FIN,,,,,,Tiaisentie 8 ,,20540,ESPOO,,,,,,,,
21244861,Active,SERGEI,SABA,,,,,2007/08/04,MALE,FIN,,,,,,VALLÄNGSVÄGEN 13 D3,,20900,TAMPERE,,Timo_Koskinen_90@hotmail.invalid,,,,,,
21244890,Active,MATTI,KOIVULA,,,,,1999/02/17,MALE,FIN,,,,,,SÖDERPÅRASVÄGEN 197,,60150,RAUMA,,laripesonen@hotmail.invalid,,,,,,
21244913,Active,LAURI,SIPI,,,,,2003/05/31,MALE,FIN,,,,,,SUULITIE 4,,29600,KURKIMÄKI,,,,,,,,
21244955,Active,SANTERI,BÖCKERMAN,,,,,2003/04/18,MALE,FIN,,,,,,JAAKKIMANKATU 5 C 27,,96960,LÄYLIÄINEN,,sussefrimodig@hotmail.invalid,,,,,,
21244968,Active,OBRIAN,LAHTINEN,,,,,1984/03/20,MALE,SGP,,,,,,MANSIKKAPOLKU 3A9,,23800,JÄRVENPÄÄ,,timo.rysa@kolumbus.invalid,,,,,,
21244971,Active,TATU,HONKONEN,,,,,1998/02/11,MALE,FIN,,,,,0503066892,UUTELANTIE 6 A,,51200,,,takalasirpa@gmail.invalid,,,,,,
21244997,Active,NIKO,RUHKALA,,,,,1986/03/18,MALE,FIN,,,,,0500503818,LEONORANKUJA 19,,66800,VAASA,,jani.lassila@huippuvalmennus.invalid,,,,,,
21245006,Active,MASI,AHONPÄÄ,,,,,1996/01/19,MALE,FIN,,,,,,Porttitie 1 G,,06100,SEINÄJOKI,,,,,,,,
21245019,Active,KALLE,LAINE,,,,,1991/05/10,MALE,FIN,,,,,(09)-6854578,RUUSUTORPANPUISTO 4 A 11,,45700,TURENKI,,,,,,,,
21245035,Active,OSKARI,LUNDSTRÖM,,,,,1989/08/30,MALE,FIN,,,,,,NIITTUPOLKU 5 A 1,,02760,HELSINKI,,amon.spartak@gmail.invalid,,,,,,
21245051,Active,EVERT,PENTINM?KI,,,,,1984/01/14,MALE,FIN,,,,,,KANERVATIE 7,,04260,KEMINMAA,,pevekki93@hotmail.invalid,,,,,,
21245064,Active,MIIKA,LAAKSONEN,,,,,1999/06/24,MALE,FIN,,,,,,LUHTAKUJA 3,,00720,ESPOO,,linski91@suomi24.invalid,,,,,,
21245080,Active,FANNIINA,TAPOLA,,,,,1955/02/06,MALE,FIN,,,,,0443626764,TAMMISTONKATU 15 A 21,,00910,KYRÖSKOSKI,,marita.saanila-sotamaa@hus.invalid,,,,,,
21245093,Active,JASPER,PUHAKAINEN,,,,,1989/05/20,FEMALE,FIN,,,,,0452799926,SAVONLINNANTIE 12,,02200,LAHTI,,duongkimi@yahoo.invalid,,,,,,
21245116,Active,VESA,NUH,,,,,2004/09/05,FEMALE,FIN,,,,,0407156476,MÄKIKURPANKUJA 4 K,,00140,JOKIKUNTA,,plunden@gmail.invalid,,,,,,
21245161,Active,JUUSO,SAIKKONEN,,,,,2009/09/15,MALE,FIN,,,,,,KAIVOKUJA 1 A 2,,05840,JUANKOSKI,,markus.keranen@netti.invalid,,,,,,
21245174,Active,LAURI,KOIVISTO,,,,,2002/05/22,FEMALE,FIN,,,,,+358407499879,Sepelkyyhkyntie 1 B 22,,00720,KAJAANI,,,,,,,,
21245187,Active,OTTO,LATVALA,,,,,1961/11/19,MALE,FIN,,,,,02-7670071,KYLÄNVANHIMMANTIE 5 - 11 D 32,,36200,EURAJOKI,,,,,,,,
21245213,Active,TEEMU,JOUTSI,,,,,1989/09/06,FEMALE,FIN,,,,,,AHMANTIE 19 B,,02200 ,HELSINKI,,jari.tallgren@elisanet.invalid,,,,,,
21245242,Active,TOMI,MÄKELÄ,,,,,1994/07/12,MALE,FIN,,,,,,KIULUTIE 6,,65280,TURKU,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
